,dma_code,dma_name,zip_code,city,state
5055,533,HARTFORD & NEW HAVEN,6280,,
5056,533,HARTFORD & NEW HAVEN,6281,,
5057,533,HARTFORD & NEW HAVEN,6282,,
5058,533,HARTFORD & NEW HAVEN,6320,,
5059,533,HARTFORD & NEW HAVEN,6330,,
5060,533,HARTFORD & NEW HAVEN,6331,,
5061,533,HARTFORD & NEW HAVEN,6332,,
5062,533,HARTFORD & NEW HAVEN,6333,,
5063,533,HARTFORD & NEW HAVEN,6334,,
5064,533,HARTFORD & NEW HAVEN,6335,,
5065,533,HARTFORD & NEW HAVEN,6336,,
5066,533,HARTFORD & NEW HAVEN,6338,,
5067,533,HARTFORD & NEW HAVEN,6339,,
5068,533,HARTFORD & NEW HAVEN,6340,,
5069,533,HARTFORD & NEW HAVEN,6349,,
5070,533,HARTFORD & NEW HAVEN,6350,,
5071,533,HARTFORD & NEW HAVEN,6351,,
5072,533,HARTFORD & NEW HAVEN,6353,,
5073,533,HARTFORD & NEW HAVEN,6354,,
5074,533,HARTFORD & NEW HAVEN,6355,,
5075,533,HARTFORD & NEW HAVEN,6357,,
5076,533,HARTFORD & NEW HAVEN,6359,,
5077,533,HARTFORD & NEW HAVEN,6360,,
5078,533,HARTFORD & NEW HAVEN,6365,,
5079,533,HARTFORD & NEW HAVEN,6370,,
5080,533,HARTFORD & NEW HAVEN,6371,,
5081,533,HARTFORD & NEW HAVEN,6372,,
5082,533,HARTFORD & NEW HAVEN,6373,,
5083,533,HARTFORD & NEW HAVEN,6374,,
5084,533,HARTFORD & NEW HAVEN,6375,,
5085,533,HARTFORD & NEW HAVEN,6376,,
5086,533,HARTFORD & NEW HAVEN,6377,,
5087,533,HARTFORD & NEW HAVEN,6378,,
5088,533,HARTFORD & NEW HAVEN,6379,,
5089,533,HARTFORD & NEW HAVEN,6380,,
5090,533,HARTFORD & NEW HAVEN,6382,,
5091,533,HARTFORD & NEW HAVEN,6383,,
5092,533,HARTFORD & NEW HAVEN,6384,,
5093,533,HARTFORD & NEW HAVEN,6385,,
5094,533,HARTFORD & NEW HAVEN,6386,,
5095,533,HARTFORD & NEW HAVEN,6387,,
5096,533,HARTFORD & NEW HAVEN,6388,,
5097,533,HARTFORD & NEW HAVEN,6389,,
5098,533,HARTFORD & NEW HAVEN,6401,,
5099,533,HARTFORD & NEW HAVEN,6403,,
5100,533,HARTFORD & NEW HAVEN,6405,,
5101,533,HARTFORD & NEW HAVEN,6408,,
5102,533,HARTFORD & NEW HAVEN,6409,,
5103,533,HARTFORD & NEW HAVEN,6410,,
5104,533,HARTFORD & NEW HAVEN,6411,,
5105,533,HARTFORD & NEW HAVEN,6412,,
5106,533,HARTFORD & NEW HAVEN,6413,,
5107,533,HARTFORD & NEW HAVEN,6414,,
5108,533,HARTFORD & NEW HAVEN,6415,,
5109,533,HARTFORD & NEW HAVEN,6416,,
5110,533,HARTFORD & NEW HAVEN,6417,,
5111,533,HARTFORD & NEW HAVEN,6418,,
5112,533,HARTFORD & NEW HAVEN,6419,,
5113,533,HARTFORD & NEW HAVEN,6420,,
5114,533,HARTFORD & NEW HAVEN,6422,,
5115,533,HARTFORD & NEW HAVEN,6423,,
5116,533,HARTFORD & NEW HAVEN,6424,,
5117,533,HARTFORD & NEW HAVEN,6426,,
5118,533,HARTFORD & NEW HAVEN,6437,,
5119,533,HARTFORD & NEW HAVEN,6438,,
5120,533,HARTFORD & NEW HAVEN,6439,,
5121,533,HARTFORD & NEW HAVEN,6441,,
5122,533,HARTFORD & NEW HAVEN,6442,,
5123,533,HARTFORD & NEW HAVEN,6443,,
5124,533,HARTFORD & NEW HAVEN,6444,,
5125,533,HARTFORD & NEW HAVEN,6447,,
5126,533,HARTFORD & NEW HAVEN,6450,,
5127,533,HARTFORD & NEW HAVEN,6451,,
5128,533,HARTFORD & NEW HAVEN,6454,,
5129,533,HARTFORD & NEW HAVEN,6455,,
5130,533,HARTFORD & NEW HAVEN,6456,,
5131,533,HARTFORD & NEW HAVEN,6457,,
5132,533,HARTFORD & NEW HAVEN,6459,,
5133,533,HARTFORD & NEW HAVEN,6460,,
5134,533,HARTFORD & NEW HAVEN,6461,,
5135,533,HARTFORD & NEW HAVEN,6467,,
5136,533,HARTFORD & NEW HAVEN,6469,,
5137,533,HARTFORD & NEW HAVEN,6471,,
5138,533,HARTFORD & NEW HAVEN,6472,,
5139,533,HARTFORD & NEW HAVEN,6473,,
5140,533,HARTFORD & NEW HAVEN,6474,,
5141,533,HARTFORD & NEW HAVEN,6475,,
5142,533,HARTFORD & NEW HAVEN,6477,,
5143,533,HARTFORD & NEW HAVEN,6478,,
5144,533,HARTFORD & NEW HAVEN,6479,,
5145,533,HARTFORD & NEW HAVEN,6480,,
5146,533,HARTFORD & NEW HAVEN,6481,,
5147,533,HARTFORD & NEW HAVEN,6483,,
5148,533,HARTFORD & NEW HAVEN,6487,,
5149,533,HARTFORD & NEW HAVEN,6488,,
5150,533,HARTFORD & NEW HAVEN,6489,,
5151,533,HARTFORD & NEW HAVEN,6492,,
5152,533,HARTFORD & NEW HAVEN,6493,,
5153,533,HARTFORD & NEW HAVEN,6494,,
5154,533,HARTFORD & NEW HAVEN,6495,,
5155,533,HARTFORD & NEW HAVEN,6498,,
5156,533,HARTFORD & NEW HAVEN,6501,,
5157,533,HARTFORD & NEW HAVEN,6502,,
5158,533,HARTFORD & NEW HAVEN,6503,,
5159,533,HARTFORD & NEW HAVEN,6504,,
5160,533,HARTFORD & NEW HAVEN,6505,,
5161,533,HARTFORD & NEW HAVEN,6506,,
5162,533,HARTFORD & NEW HAVEN,6507,,
5163,533,HARTFORD & NEW HAVEN,6508,,
5164,533,HARTFORD & NEW HAVEN,6509,,
5165,533,HARTFORD & NEW HAVEN,6510,,
5166,533,HARTFORD & NEW HAVEN,6511,,
5167,533,HARTFORD & NEW HAVEN,6512,,
5168,533,HARTFORD & NEW HAVEN,6513,,
5169,533,HARTFORD & NEW HAVEN,6514,,
5170,533,HARTFORD & NEW HAVEN,6515,,
5171,533,HARTFORD & NEW HAVEN,6516,,
5172,533,HARTFORD & NEW HAVEN,6517,,
5173,533,HARTFORD & NEW HAVEN,6518,,
5174,533,HARTFORD & NEW HAVEN,6519,,
5175,533,HARTFORD & NEW HAVEN,6520,,
5176,533,HARTFORD & NEW HAVEN,6521,,
5177,533,HARTFORD & NEW HAVEN,6524,,
5178,533,HARTFORD & NEW HAVEN,6525,,
5179,533,HARTFORD & NEW HAVEN,6530,,
5180,533,HARTFORD & NEW HAVEN,6531,,
5181,533,HARTFORD & NEW HAVEN,6532,,
5182,533,HARTFORD & NEW HAVEN,6533,,
5183,533,HARTFORD & NEW HAVEN,6534,,
5184,533,HARTFORD & NEW HAVEN,6535,,
5185,533,HARTFORD & NEW HAVEN,6536,,
5186,533,HARTFORD & NEW HAVEN,6537,,
5187,533,HARTFORD & NEW HAVEN,6540,,
5188,533,HARTFORD & NEW HAVEN,6701,,
5189,533,HARTFORD & NEW HAVEN,6702,,
5190,533,HARTFORD & NEW HAVEN,6703,,
5191,533,HARTFORD & NEW HAVEN,6704,,
5192,533,HARTFORD & NEW HAVEN,6705,,
5193,533,HARTFORD & NEW HAVEN,6706,,
5194,533,HARTFORD & NEW HAVEN,6708,,
5195,533,HARTFORD & NEW HAVEN,6710,,
5196,533,HARTFORD & NEW HAVEN,6712,,
5197,533,HARTFORD & NEW HAVEN,6716,,
5198,533,HARTFORD & NEW HAVEN,6720,,
5199,533,HARTFORD & NEW HAVEN,6721,,
5200,533,HARTFORD & NEW HAVEN,6722,,
5201,533,HARTFORD & NEW HAVEN,6723,,
5202,533,HARTFORD & NEW HAVEN,6724,,
5203,533,HARTFORD & NEW HAVEN,6725,,
5204,533,HARTFORD & NEW HAVEN,6749,,
5205,533,HARTFORD & NEW HAVEN,6750,,
5206,533,HARTFORD & NEW HAVEN,6751,,
5207,533,HARTFORD & NEW HAVEN,6752,,
5208,533,HARTFORD & NEW HAVEN,6753,,
5209,533,HARTFORD & NEW HAVEN,6754,,
5210,533,HARTFORD & NEW HAVEN,6755,,
5211,533,HARTFORD & NEW HAVEN,6756,,
5212,533,HARTFORD & NEW HAVEN,6757,,
5213,533,HARTFORD & NEW HAVEN,6758,,
5214,533,HARTFORD & NEW HAVEN,6759,,
5215,533,HARTFORD & NEW HAVEN,6762,,
5216,533,HARTFORD & NEW HAVEN,6763,,
5217,533,HARTFORD & NEW HAVEN,6770,,
5218,533,HARTFORD & NEW HAVEN,6776,,
5219,533,HARTFORD & NEW HAVEN,6777,,
5220,533,HARTFORD & NEW HAVEN,6778,,
5221,533,HARTFORD & NEW HAVEN,6779,,
5222,533,HARTFORD & NEW HAVEN,6781,,
5223,533,HARTFORD & NEW HAVEN,6782,,
5224,533,HARTFORD & NEW HAVEN,6783,,
5225,533,HARTFORD & NEW HAVEN,6785,,
5226,533,HARTFORD & NEW HAVEN,6786,,
5227,533,HARTFORD & NEW HAVEN,6787,,
5228,533,HARTFORD & NEW HAVEN,6790,,
5229,533,HARTFORD & NEW HAVEN,6791,,
5230,533,HARTFORD & NEW HAVEN,6792,,
5231,533,HARTFORD & NEW HAVEN,6793,,
5232,533,HARTFORD & NEW HAVEN,6794,,
5233,533,HARTFORD & NEW HAVEN,6795,,
5234,533,HARTFORD & NEW HAVEN,6796,,
5235,533,HARTFORD & NEW HAVEN,6798,,
7024,679,DES MOINES - AMES,50350,,
8403,523,BURLINGTON - PLATTSBURGH,3215,,
8404,523,BURLINGTON - PLATTSBURGH,3217,,
8405,523,BURLINGTON - PLATTSBURGH,3222,,
8406,523,BURLINGTON - PLATTSBURGH,3223,,
8407,523,BURLINGTON - PLATTSBURGH,3238,,
8408,523,BURLINGTON - PLATTSBURGH,3240,,
8409,523,BURLINGTON - PLATTSBURGH,3241,,
8410,523,BURLINGTON - PLATTSBURGH,3245,,
8411,523,BURLINGTON - PLATTSBURGH,3251,,
8412,523,BURLINGTON - PLATTSBURGH,3262,,
8413,523,BURLINGTON - PLATTSBURGH,3264,,
8414,523,BURLINGTON - PLATTSBURGH,3266,,
8415,523,BURLINGTON - PLATTSBURGH,3274,,
8416,523,BURLINGTON - PLATTSBURGH,3279,,
8417,523,BURLINGTON - PLATTSBURGH,3280,,
